Thread_ID,Block_ID,Thickness,Density,R,G,B
4,6,163.0,1.0061349693251531,58.672865853658536,73.94893292682927,211.0640243902439
5,7,163.0,1.0061349693251531,59.90213414634146,74.04268292682927,213.79314024390243
6,8,163.0,1.0061349693251531,61.68064024390244,77.32301829268293,219.96814024390244
7,9,163.0,1.0061349693251531,64.4592987804878,80.4092987804878,225.9346036585366
8,10,163.0,1.0061349693251531,65.05853658536586,81.58536585365853,228.0379573170732
9,11,163.0,1.0061349693251531,66.84390243902439,84.56021341463415,231.6503048780488
10,12,163.0,1.0061349693251531,67.30320121951219,86.20228658536585,233.5532012195122
11,13,163.0,1.0061349693251531,67.9920731707317,86.05015243902439,234.0282012195122
12,14,163.0,1.0061349693251531,67.82423780487805,86.41661585365854,234.2378048780488
13,15,163.0,1.0061349693251531,68.3391768292683,87.75716463414633,235.3378048780488
14,16,163.0,1.0061349693251531,68.15076219512196,87.44481707317073,234.60228658536585
15,17,163.0,1.0061349693251531,67.69725609756098,86.04557926829268,234.0934451219512
16,18,163.0,1.0061349693251531,68.21509146341464,87.9560975609756,236.07103658536585
17,19,163.0,1.0061349693251531,67.6609756097561,87.30289634146341,234.4280487804878
18,20,163.0,1.0061349693251531,66.21021341463414,85.18704268292683,231.4996951219512
19,21,163.0,1.0061349693251531,66.58734756097562,85.7423780487805,232.25685975609755
20,22,163.0,1.0061349693251531,64.46554878048781,83.0984756097561,227.6416158536585
21,23,163.0,1.0061349693251531,63.917835365853655,83.00167682926829,227.54115853658536
22,24,163.0,1.0061349693251531,63.015548780487805,81.29405487804878,225.5905487804878
23,25,163.0,1.0061349693251531,61.917225609756095,79.07103658536586,222.24588414634147
24,26,163.0,1.0061349693251531,59.91219512195122,77.19481707317073,216.64878048780488
25,27,163.0,1.0061349693251531,58.64146341463415,76.30426829268292,212.57682926829267
26,28,163.0,1.0061349693251531,56.84405487804878,73.41036585365853,206.5748475609756
27,29,163.0,1.0061349693251531,55.88536585365853,72.23689024390244,202.61615853658537
28,30,163.0,1.0061349693251531,54.82560975609756,70.40518292682927,198.6001524390244
29,31,163.0,1.0061349693251531,54.37012195121951,70.4435975609756,197.1013719512195
